xI_real,xI_imag,yout_real,yout_imag
-0.351953329,0.312338955,-0.102178468,-0.617509195
-0.445141834,0.342802067,0.002030415,-0.652997958
-0.503108041,0.344394012,0.047957629,-0.700407761
-0.524209709,0.314709499,0.121207576,-0.697915138
-0.510255423,0.254241508,0.185472932,-0.645556372
-0.465994431,0.16639618,0.235436346,-0.578602851
-0.398070537,0.057284523,0.320319448,-0.470440926
-0.314341738,-0.064964569,0.402667345,-0.344939045
-0.2226948,-0.190934934,0.4967642,-0.19389927
-0.130212179,-0.310876034,0.569496608,0.029860072
-0.042573913,-0.41568545,0.571543451,0.247827345
0.036564429,-0.497784045,0.531139137,0.400859055
0.105417282,-0.551935044,0.470399052,0.515837778
0.163851956,-0.575614959,0.413532722,0.567781358
0.212976582,-0.569333836,0.319189494,0.639778935
0.254578338,-0.53665139,0.274153255,0.669968026
0.290494718,-0.483622972,0.172005282,0.653795164
0.321800543,-0.418194498,0.094745973,0.67488055
0.348623883,-0.349298329,0.018246461,0.657078024
0.369915369,-0.285888921,-0.06652602,0.646413876
0.383449315,-0.235989111,-0.165500462,0.597251453
0.38642853,-0.205769743,-0.160168524,0.588840741
0.375735885,-0.198961078,-0.204580289,0.561808332
0.34858643,-0.216282583,-0.165599745,0.535705817
0.303346543,-0.255489684,-0.081117003,0.502152783
0.239915256,-0.311713677,0.026994119,0.498332716
0.160051207,-0.377784008,0.152513271,0.472275504
0.067381421,-0.445206195,0.293324373,0.434391275
-0.032761004,-0.504954482,0.425846948,0.38817204
-0.13382329,-0.548492216,0.523344037,0.304678147
-0.228723384,-0.568853104,0.594973871,0.221470794
-0.310547148,-0.561052433,0.631621512,0.178796685
-0.373407389,-0.523055208,0.650553183,0.113825395
-0.413015332,-0.455967337,0.630709579,0.039048579
-0.427261725,-0.36344631,0.599105452,-0.002665711
-0.416465724,-0.251879138,0.537442953,-0.09270033
-0.383196887,-0.129706421,0.421085377,-0.200855245
-0.332190869,-0.006330147,0.282124696,-0.28088531
-0.269645141,0.108583796,0.09598036,-0.354018201
-0.202578281,0.206108908,-0.095074483,-0.369502157
-0.138197312,0.278849927,-0.253828849,-0.335963604
-0.082831982,0.32162001,-0.330373937,-0.279663402
