xI_actual,xI_real,xI_imag
9.02E-05,0.183950003,0.196811806
9.02E-05,0.237021794,0.232102551
9.02E-05,0.283240363,0.245824955
9.02E-05,0.318081529,0.23925742
9.02E-05,0.337536897,0.215520091
9.02E-05,0.338483023,0.179207646
9.02E-05,0.319042652,0.135977309
9.02E-05,0.278752842,0.091964862
9.02E-05,0.218729203,0.053214029
9.02E-05,0.141622431,0.025091921
9.02E-05,0.051449147,0.011808103
9.02E-05,-0.04665122,0.016013206
9.02E-05,-0.146826952,0.038588884
9.02E-05,-0.242954689,0.078553602
9.02E-05,-0.329122416,0.133161981
9.02E-05,-0.400072423,0.198196714
9.02E-05,-0.451642603,0.268314237
9.02E-05,-0.481084712,0.337562191
9.02E-05,-0.487271316,0.399911374
9.02E-05,-0.470747722,0.449747278
9.02E-05,-0.433701142,0.482425059
9.02E-05,-0.379746061,0.494582204
9.02E-05,-0.313589908,0.484488902
9.02E-05,-0.240667212,0.452086762
9.02E-05,-0.166705127,0.399059007
9.02E-05,-0.097191306,0.328581592
9.02E-05,-0.037040015,0.24506922
9.02E-05,0.009823284,0.153784977
9.02E-05,0.040741927,0.060358569
9.02E-05,0.054474434,-0.029639038
9.02E-05,0.051206664,-0.111142817
9.02E-05,0.032534969,-0.180004412
9.02E-05,0.001217061,-0.233243793
9.02E-05,-0.039058204,-0.269205294
9.02E-05,-0.084019784,-0.287651588
9.02E-05,-0.129198612,-0.289642336
9.02E-05,-0.170275628,-0.277372627
9.02E-05,-0.203412673,-0.253883666
9.02E-05,-0.225536652,-0.22276666
9.02E-05,-0.234547425,-0.187765694
9.02E-05,-0.229431636,-0.152504168
9.02E-05,-0.210266657,-0.120092128
9.02E-05,-0.17819245,-0.092986962
9.02E-05,-0.135252953,-0.072802896
9.02E-05,-0.084178333,-0.060226926
9.02E-05,-0.028156677,-0.055111643
9.02E-05,0.029407462,-0.056531573
9.02E-05,0.085178669,-0.063009561
9.02E-05,0.136109007,-0.072685863
9.02E-05,0.179635325,-0.083596683
9.02E-05,0.213830466,-0.093874788
9.02E-05,0.237468511,-0.101942628
9.02E-05,0.250046076,-0.106664816
9.02E-05,0.251772925,-0.107437468
9.02E-05,0.243474885,-0.10420055
9.02E-05,0.226461123,-0.097414378
9.02E-05,0.202397227,-0.087955981
9.02E-05,0.173163717,-0.077030884
9.02E-05,0.140672335,-0.065990062
9.02E-05,0.106778423,-0.056208697
9.02E-05,0.073138773,-0.048963955
9.02E-05,0.041144516,-0.045312577
9.02E-05,0.011879155,-0.046025249
9.02E-05,-0.013883993,-0.05156705
9.02E-05,-0.03569196,-0.062073119
9.02E-05,-0.053348806,-0.077396542
9.02E-05,-0.066902092,-0.09716108
9.02E-05,-0.076541677,-0.120785611
9.02E-05,-0.082605717,-0.147557052
9.02E-05,-0.085469458,-0.17667704
9.02E-05,-0.085585874,-0.207258028
9.02E-05,-0.08341653,-0.238346442
9.02E-05,-0.079433997,-0.268900399
9.02E-05,-0.074110294,-0.297787274
9.02E-05,-0.067985698,-0.323734783
9.02E-05,-0.061562093,-0.34537413
9.02E-05,-0.055377753,-0.361192648
9.02E-05,-0.049959597,-0.369623679
9.02E-05,-0.045806971,-0.36909107
9.02E-05,-0.043336585,-0.358142818
9.02E-05,-0.042843667,-0.335541378
9.02E-05,-0.044445714,-0.300445251
9.02E-05,-0.048024756,-0.252522538
9.02E-05,-0.053226755,-0.192073201
9.02E-05,-0.05941547,-0.120132356
9.02E-05,-0.065720044,-0.038485322
9.02E-05,-0.071056135,0.05036915
9.02E-05,-0.074213626,0.143296255
9.02E-05,-0.073987308,0.236711038
9.02E-05,-0.069256459,0.326782055
9.02E-05,-0.059176428,0.409698641
9.02E-05,-0.043265015,0.481931257
9.02E-05,-0.02152444,0.540534362
9.03E-05,0.005486357,0.583338884
9.03E-05,0.036621921,0.60916185
9.03E-05,0.070201701,0.617892634
9.03E-05,0.104097403,0.610484116
9.03E-05,0.135858724,0.588906872
9.03E-05,0.162919097,0.555943437
9.03E-05,0.182822645,0.51496661
9.03E-05,0.193446395,0.46961269
9.03E-05,0.193195913,0.423502068
9.03E-05,0.181212093,0.379894435
9.03E-05,0.157485677,0.341439289
9.03E-05,0.122871381,0.309926365
9.03E-05,0.079101644,0.28619956
9.03E-05,0.028641959,0.27012677
9.03E-05,-0.025499391,0.260627772
9.03E-05,-0.079989943,0.255860206
9.03E-05,-0.131519627,0.253481492
9.03E-05,-0.177037638,0.250870717
9.03E-05,-0.214048157,0.245466004
9.03E-05,-0.240830772,0.235086468
9.03E-05,-0.256596061,0.218110292
9.03E-05,-0.261558478,0.193728896
9.03E-05,-0.256881186,0.162018239
9.03E-05,-0.244568762,0.123953377
9.03E-05,-0.227238079,0.081333251
9.03E-05,-0.207828712,0.036594651
9.03E-05,-0.189336091,-0.007414781
9.03E-05,-0.17443447,-0.04771671
9.03E-05,-0.165225373,-0.081486751
9.03E-05,-0.16299673,-0.106348805
9.03E-05,-0.168063689,-0.120624436
9.03E-05,-0.179732692,-0.123475829
9.03E-05,-0.196347497,-0.115024977
9.03E-05,-0.215431186,-0.096363537
9.03E-05,-0.233950054,-0.069453642
9.03E-05,-0.24860457,-0.036979225
9.03E-05,-0.256146828,-0.002128331
9.03E-05,-0.253750276,0.031694656
9.03E-05,-0.239285485,0.061144888
9.03E-05,-0.211537802,0.083231455
9.03E-05,-0.170405084,0.095539528
9.03E-05,-0.11692375,0.096471858
9.03E-05,-0.053212566,0.08535177
9.03E-05,0.017702253,0.062480361
9.03E-05,0.092058771,0.02915925
9.03E-05,0.165730121,-0.012476736
9.03E-05,0.234535344,-0.059580899
9.03E-05,0.294557128,-0.108820268
9.03E-05,0.342486957,-0.156628515
9.03E-05,0.375870401,-0.199470302
9.03E-05,0.393265236,-0.234097318
9.03E-05,0.394381937,-0.257804521
9.03E-05,0.380061321,-0.268585739
9.03E-05,0.352178511,-0.26529414
9.03E-05,0.313500789,-0.247712321
9.03E-05,0.267413218,-0.216555291
9.03E-05,0.217695501,-0.173441209
9.03E-05,0.168175666,-0.120746145
9.03E-05,0.122461055,-0.061423351
9.03E-05,0.083682813,0.001156544
9.03E-05,0.05428517,0.063441506
9.03E-05,0.035832345,0.121954761
9.03E-05,0.028956879,0.173490368
9.03E-05,0.03333039,0.215326638
9.03E-05,0.047734981,0.245355443
9.03E-05,0.070139191,0.262234653
9.03E-05,0.097933828,0.265403961
9.03E-05,0.128104066,0.255133048
9.03E-05,0.157480488,0.232433898
9.03E-05,0.18297123,0.198967408
9.03E-05,0.201813306,0.156938016
9.03E-05,0.211772464,0.108874351
9.03E-05,0.211320389,0.057531092
9.03E-05,0.199739279,0.005621941
9.03E-05,0.177186995,-0.044276707
9.03E-05,0.144697253,-0.089912018
9.03E-05,0.104083103,-0.129430038
9.03E-05,0.057840511,-0.161492791
9.03E-05,0.008929717,-0.185291309
9.03E-05,-0.039437007,-0.200520538
9.03E-05,-0.084058868,-0.207398908
9.03E-05,-0.121987554,-0.206539767
9.03E-05,-0.150799472,-0.198934628
9.03E-05,-0.16876714,-0.185811058
9.03E-05,-0.175060721,-0.168570669
9.03E-05,-0.169790396,-0.148653505
9.03E-05,-0.154052932,-0.127496406
9.03E-05,-0.129847608,-0.10646431
9.03E-05,-0.09993571,-0.086742144
9.03E-05,-0.067568352,-0.069336056
9.03E-05,-0.036287531,-0.055037126
9.03E-05,-0.009587322,-0.04437535
9.03E-05,0.009383219,-0.037608699
9.03E-05,0.018123393,-0.03474407
9.03E-05,0.014988485,-0.035504131
9.03E-05,-0.000638921,-0.039342238
9.03E-05,-0.028271691,-0.04546915
9.03E-05,-0.066355843,-0.052860184
9.03E-05,-0.112363917,-0.060352837
9.03E-05,-0.163018186,-0.066652675
9.04E-05,-0.214538148,-0.070457922
9.04E-05,-0.263001707,-0.070526008
9.04E-05,-0.304620639,-0.065787502
9.04E-05,-0.336088049,-0.055482261
9.04E-05,-0.354859028,-0.039216055
9.04E-05,-0.359316086,-0.017067289
9.04E-05,-0.348911685,0.010384246
9.04E-05,-0.324223158,0.042006193
9.04E-05,-0.286821978,0.076182055
9.04E-05,-0.239172914,0.110876955
9.04E-05,-0.184388257,0.143761137
9.04E-05,-0.125982508,0.172413116
9.04E-05,-0.067562,0.194452914
9.04E-05,-0.012575469,0.207808049
9.04E-05,0.035918013,0.210865645
9.04E-05,0.075478811,0.202656622
9.04E-05,0.104375158,0.18298614
9.04E-05,0.121643873,0.152497963
9.04E-05,0.127099305,0.112646791
9.04E-05,0.121225337,0.065616654
9.04E-05,0.1050619,0.014182868
9.04E-05,0.080084296,-0.038469558
9.04E-05,0.048018607,-0.08906962
9.04E-05,0.010708069,-0.134427907
9.04E-05,-0.030025106,-0.171775251
9.04E-05,-0.072486446,-0.19892081
9.04E-05,-0.115131714,-0.214444577
9.04E-05,-0.156635286,-0.217804825
9.04E-05,-0.195873102,-0.209346333
9.04E-05,-0.23187815,-0.190199315
9.04E-05,-0.263837665,-0.162209314
9.04E-05,-0.291040863,-0.127700249
9.04E-05,-0.31285822,-0.089247507
9.04E-05,-0.328716642,-0.049459056
9.04E-05,-0.338119862,-0.010735954
9.04E-05,-0.340652278,0.024926173
9.04E-05,-0.335995939,0.05603523
9.04E-05,-0.323992865,0.081714884
9.04E-05,-0.304652544,0.101654228
9.04E-05,-0.278165924,0.116081631
9.04E-05,-0.244940533,0.125609504
9.04E-05,-0.205566931,0.131088788
9.04E-05,-0.160799157,0.133440077
9.04E-05,-0.111524534,0.133485876
9.04E-05,-0.058710394,0.131822515
9.04E-05,-0.003391679,0.128754587
9.04E-05,0.053393416,0.124243409
9.04E-05,0.110633569,0.117959641
9.04E-05,0.167314028,0.109343983
9.04E-05,0.222428431,0.097752457
9.04E-05,0.274970872,0.082610954
9.04E-05,0.32388939,0.063534403
9.04E-05,0.368102897,0.040490434
9.04E-05,0.406461057,0.013862451
9.04E-05,0.437786288,-0.015510681
9.04E-05,0.460914822,-0.046323515
9.04E-05,0.474764314,-0.076925166
9.04E-05,0.478443989,-0.105425231
9.04E-05,0.471352828,-0.129882427
9.04E-05,0.453312952,-0.148451265
9.04E-05,0.424635158,-0.159622225
9.04E-05,0.386273282,-0.16230988
9.04E-05,0.339740567,-0.156022806
9.04E-05,0.287172939,-0.140889674
9.04E-05,0.231157867,-0.117655186
9.04E-05,0.174635359,-0.087616324
9.04E-05,0.120645602,-0.05250874
9.04E-05,0.072093582,-0.014296559
9.04E-05,0.031501287,0.024923277
9.04E-05,0.000757241,0.063184004
9.04E-05,-0.019087214,0.098765571
9.04E-05,-0.027941722,0.130332938
9.04E-05,-0.026708399,0.157001161
9.04E-05,-0.017219955,0.178362617
9.04E-05,-0.002105317,0.194449456
9.04E-05,0.015499509,0.205651874
9.04E-05,0.032254602,0.212613181
9.04E-05,0.044955241,0.216104063
9.04E-05,0.050897386,0.216895074
9.04E-05,0.048180739,0.215658928
9.04E-05,0.035936053,0.212903787
9.04E-05,0.014472785,0.208951744
9.04E-05,-0.014745006,0.203924349
9.04E-05,-0.049208791,0.19785046
9.04E-05,-0.085600141,0.190702895
9.04E-05,-0.120127043,0.182518836
9.04E-05,-0.148941076,0.173487277
9.04E-05,-0.16850936,0.164041147
9.04E-05,-0.176071444,0.154866293
9.04E-05,-0.169847601,0.146935762
9.04E-05,-0.149354217,0.141458557
9.04E-05,-0.115401406,0.139735832
9.04E-05,-0.07007972,0.143107371
9.04E-05,-0.01651004,0.152715824
9.04E-05,0.041426695,0.169394218
9.04E-05,0.099528311,0.193500548
